timestamp,cell_id,rrc_attempts,rrc_success,e_rab_attempts,e_rab_success,dl_prb_utilization,dl_throughput_mbps
2025-01-01 00:00:00,CELL_001,90,89,85,82,74.45,29.77
2025-01-01 01:00:00,CELL_001,146,144,130,127,75.24,29.01
2025-01-01 02:00:00,CELL_001,156,154,146,142,82.62,32.84
2025-01-01 03:00:00,CELL_001,139,137,122,119,80.71,30.78
2025-01-01 04:00:00,CELL_001,162,159,151,147,88.83,35.22
2025-01-01 05:00:00,CELL_001,158,156,137,133,88.75,33.97
2025-01-01 06:00:00,CELL_001,151,149,130,127,91.88,37.42
2025-01-01 07:00:00,CELL_001,166,164,141,138,84.68,32.63
2025-01-01 08:00:00,CELL_001,153,151,140,136,90.53,32.58
2025-01-01 09:00:00,CELL_001,139,137,128,124,87.14,35.25
2025-01-01 10:00:00,CELL_001,131,129,119,115,82.56,28.83
2025-01-01 11:00:00,CELL_001,148,146,137,133,73.79,32.09
2025-01-01 12:00:00,CELL_001,126,124,114,110,71.21,27.5
2025-01-01 13:00:00,CELL_001,107,106,91,88,66.4,29.69
2025-01-01 14:00:00,CELL_001,92,91,86,83,52.19,20.27
2025-01-01 15:00:00,CELL_001,107,106,96,93,56.53,19.18
2025-01-01 16:00:00,CELL_001,79,78,67,65,43.48,18.85
2025-01-01 17:00:00,CELL_001,89,88,82,80,44.93,17.31
2025-01-01 18:00:00,CELL_001,71,70,66,64,48.83,17.24
2025-01-01 19:00:00,CELL_001,78,76,69,67,49.16,20.34
2025-01-01 20:00:00,CELL_001,92,91,84,82,45.73,16.2
2025-01-01 21:00:00,CELL_001,120,118,103,101,50.72,23.54
2025-01-01 22:00:00,CELL_001,101,100,87,85,49.29,23.17
2025-01-01 23:00:00,CELL_001,92,91,80,78,62.19,24.32
2025-01-02 00:00:00,CELL_001,128,126,121,117,70.93,24.18
2025-01-02 01:00:00,CELL_001,132,131,124,120,72.54,30.51
2025-01-02 02:00:00,CELL_001,127,124,118,115,91.61,29.96
2025-01-02 03:00:00,CELL_001,162,159,148,143,79.43,38.76
2025-01-02 04:00:00,CELL_001,133,131,120,118,92.14,35.87
2025-01-02 05:00:00,CELL_001,152,150,130,126,92.71,38.42
2025-01-02 06:00:00,CELL_001,161,159,144,140,100.0,41.94
2025-01-02 07:00:00,CELL_001,160,157,136,133,81.63,38.17
2025-01-02 08:00:00,CELL_001,134,132,124,121,86.99,35.02
2025-01-02 09:00:00,CELL_001,106,105,94,91,86.55,38.44
2025-01-02 10:00:00,CELL_001,150,148,132,128,83.47,36.75
2025-01-02 11:00:00,CELL_001,135,133,126,123,72.0,32.53
2025-01-02 12:00:00,CELL_001,131,129,122,119,73.7,22.72
2025-01-02 13:00:00,CELL_001,93,92,86,84,64.78,21.65
2025-01-02 14:00:00,CELL_001,106,105,96,92,61.61,28.17
2025-01-02 15:00:00,CELL_001,85,83,73,71,52.34,24.06
2025-01-02 16:00:00,CELL_001,92,91,85,82,53.77,23.31
2025-01-02 17:00:00,CELL_001,83,82,76,73,49.81,23.47
2025-01-02 18:00:00,CELL_001,96,95,82,80,46.75,19.53
2025-01-02 19:00:00,CELL_001,61,60,53,51,51.13,15.25
2025-01-02 20:00:00,CELL_001,89,88,78,76,52.54,22.59
2025-01-02 21:00:00,CELL_001,102,100,89,87,57.8,6.57
2025-01-02 22:00:00,CELL_001,72,70,66,63,58.12,23.91
2025-01-02 23:00:00,CELL_001,130,128,111,109,61.64,20.86
2025-01-03 00:00:00,CELL_001,114,113,104,101,72.42,27.04
2025-01-03 01:00:00,CELL_001,143,141,122,118,74.54,30.55
2025-01-03 02:00:00,CELL_001,157,154,138,135,82.48,31.16
2025-01-03 03:00:00,CELL_001,174,172,149,145,86.58,33.18
2025-01-03 04:00:00,CELL_001,138,135,120,116,97.94,37.88
2025-01-03 05:00:00,CELL_001,159,157,146,142,95.67,31.96
2025-01-03 06:00:00,CELL_001,194,192,174,170,90.21,33.33
2025-01-03 07:00:00,CELL_001,142,140,127,124,88.92,36.75
2025-01-03 08:00:00,CELL_001,165,163,152,147,92.73,32.4
2025-01-03 09:00:00,CELL_001,100,99,94,91,77.11,32.36
2025-01-03 10:00:00,CELL_001,136,134,118,115,88.7,28.64
2025-01-03 11:00:00,CELL_001,149,148,128,124,76.78,34.26
2025-01-03 12:00:00,CELL_001,105,104,98,95,75.79,20.25
2025-01-03 13:00:00,CELL_001,85,84,79,77,65.63,22.28
2025-01-03 14:00:00,CELL_001,111,110,103,100,58.01,21.06
2025-01-03 15:00:00,CELL_001,75,74,67,65,55.45,19.32
2025-01-03 16:00:00,CELL_001,99,97,84,82,51.51,21.09
2025-01-03 17:00:00,CELL_001,88,87,83,81,37.7,16.02
2025-01-03 18:00:00,CELL_001,67,66,57,55,57.09,15.54
2025-01-03 19:00:00,CELL_001,112,110,103,99,47.15,21.92
2025-01-03 20:00:00,CELL_001,62,61,55,54,54.56,22.6
2025-01-03 21:00:00,CELL_001,69,68,58,56,51.16,17.77
